nu,kernel,gamma,percentile,threshold,auc,f1_score,accuracy,predictions_csv
0.01,rbf,scale,100,0.00048229389380782806,0.9748012911735101,0.6068965517241379,0.9410243145369891,ckpt\oneclass_svm_predictions_p100_nu0.010_kernelrbf_gammascale_20251219_002326.csv
0.01,rbf,auto,100,0.0004822901054005735,0.9748012911735101,0.6068965517241379,0.9410243145369891,ckpt\oneclass_svm_predictions_p100_nu0.010_kernelrbf_gammaauto_20251219_002326.csv
0.01,rbf,0.001,100,3.0451846200908044,0.9765078153020258,0.5151515151515151,0.966890843248836,ckpt\oneclass_svm_predictions_p100_nu0.010_kernelrbf_gamma0.001_20251219_002326.csv
0.01,rbf,0.01,100,3.7156196655703417,0.964209271921604,0.5151515151515151,0.966890843248836,ckpt\oneclass_svm_predictions_p100_nu0.010_kernelrbf_gamma0.01_20251219_002326.csv
0.01,rbf,0.1,100,0.00048233505515371533,0.9696470098226372,0.6720647773279352,0.9580962234868081,ckpt\oneclass_svm_predictions_p100_nu0.010_kernelrbf_gamma0.1_20251219_002326.csv
0.01,rbf,1.0,100,0.000472553459964567,0.9800596994203604,0.26762589928057556,0.7366787377133989,ckpt\oneclass_svm_predictions_p100_nu0.010_kernelrbf_gamma1.0_20251219_002326.csv
0.01,linear,N/A,100,0.00058130690291657,0.6873127162079298,0.10101010101010101,0.9539575788929125,ckpt\oneclass_svm_predictions_p100_nu0.010_kernellinear_gammascale_20251219_002326.csv
0.01,poly,N/A,100,0.0002580905675668682,0.029068758460310304,0.018018018018018018,0.9436109674081739,ckpt\oneclass_svm_predictions_p100_nu0.010_kernelpoly_gammascale_20251219_002326.csv
0.01,sigmoid,N/A,100,3.843480975878901,0.7910983073594575,0.43548387096774194,0.9637868598034144,ckpt\oneclass_svm_predictions_p100_nu0.010_kernelsigmoid_gammascale_20251219_002326.csv
0.05,rbf,scale,100,3.038695327830131,0.9752582925502992,0.7134502923976608,0.9746508018623901,ckpt\oneclass_svm_predictions_p100_nu0.050_kernelrbf_gammascale_20251219_002326.csv
0.05,rbf,auto,100,3.0386953479370558,0.9752582925502992,0.7134502923976608,0.9746508018623901,ckpt\oneclass_svm_predictions_p100_nu0.050_kernelrbf_gammaauto_20251219_002326.csv
0.05,rbf,0.001,100,21.687492927541186,0.9790994180463479,0.5151515151515151,0.966890843248836,ckpt\oneclass_svm_predictions_p100_nu0.050_kernelrbf_gamma0.001_20251219_002326.csv
0.05,rbf,0.01,100,48.98083574153684,0.9773928939178324,0.5190839694656488,0.967408173823073,ckpt\oneclass_svm_predictions_p100_nu0.050_kernelrbf_gamma0.01_20251219_002326.csv
0.05,rbf,0.1,100,6.934432265937404,0.9739451366954751,0.6225165562913907,0.9705121572684946,ckpt\oneclass_svm_predictions_p100_nu0.050_kernelrbf_gamma0.1_20251219_002326.csv
0.05,rbf,1.0,100,0.0004898559349363341,0.9801262249372346,0.2612359550561798,0.727884117951371,ckpt\oneclass_svm_predictions_p100_nu0.050_kernelrbf_gamma1.0_20251219_002326.csv
0.05,linear,N/A,100,0.0004319234497945305,0.2617750164867585,0.0,0.9513709260217279,ckpt\oneclass_svm_predictions_p100_nu0.050_kernellinear_gammascale_20251219_002327.csv
0.05,poly,N/A,100,0.0004896538571539186,0.02861754191107564,0.020202020202020204,0.9498189342990171,ckpt\oneclass_svm_predictions_p100_nu0.050_kernelpoly_gammascale_20251219_002327.csv
0.05,sigmoid,N/A,100,34.92742974529072,0.8123286244837041,0.448,0.9643041903776514,ckpt\oneclass_svm_predictions_p100_nu0.050_kernelsigmoid_gammascale_20251219_002327.csv
0.1,rbf,scale,100,11.977358703295021,0.9752409380676362,0.6625766871165644,0.9715468184169684,ckpt\oneclass_svm_predictions_p100_nu0.100_kernelrbf_gammascale_20251219_002327.csv
0.1,rbf,auto,100,11.97735876223982,0.9752409380676362,0.6625766871165644,0.9715468184169684,ckpt\oneclass_svm_predictions_p100_nu0.100_kernelrbf_gammaauto_20251219_002327.csv
0.1,rbf,0.001,100,47.16681988944259,0.9792498235627595,0.5151515151515151,0.966890843248836,ckpt\oneclass_svm_predictions_p100_nu0.100_kernelrbf_gamma0.001_20251219_002327.csv
0.1,rbf,0.01,100,119.57981235158118,0.9785672139113533,0.5190839694656488,0.967408173823073,ckpt\oneclass_svm_predictions_p100_nu0.100_kernelrbf_gamma0.01_20251219_002327.csv
0.1,rbf,0.1,100,23.910374649566762,0.9750268994481275,0.6308724832214765,0.9715468184169684,ckpt\oneclass_svm_predictions_p100_nu0.100_kernelrbf_gamma0.1_20251219_002327.csv
0.1,rbf,1.0,100,0.030082449101679343,0.9801030856270174,0.29199372056514916,0.7666839110191412,ckpt\oneclass_svm_predictions_p100_nu0.100_kernelrbf_gamma1.0_20251219_002328.csv
0.1,linear,N/A,100,0.00039799029458592356,0.6129776821352956,0.0,0.9513709260217279,ckpt\oneclass_svm_predictions_p100_nu0.100_kernellinear_gammascale_20251219_002328.csv
0.1,poly,N/A,100,0.0006545768062876624,0.027182904677611554,0.020833333333333332,0.9513709260217279,ckpt\oneclass_svm_predictions_p100_nu0.100_kernelpoly_gammascale_20251219_002328.csv
0.1,sigmoid,N/A,100,85.05198683937823,0.8295558409403816,0.448,0.9643041903776514,ckpt\oneclass_svm_predictions_p100_nu0.100_kernelsigmoid_gammascale_20251219_002328.csv
0.15,rbf,scale,100,26.011935452650498,0.9754318373769278,0.6625766871165644,0.9715468184169684,ckpt\oneclass_svm_predictions_p100_nu0.150_kernelrbf_gammascale_20251219_002328.csv
0.15,rbf,auto,100,26.011935579635217,0.9754318373769278,0.6625766871165644,0.9715468184169684,ckpt\oneclass_svm_predictions_p100_nu0.150_kernelrbf_gammaauto_20251219_002328.csv
0.15,rbf,0.001,100,73.76925830316273,0.9782895421887473,0.5151515151515151,0.966890843248836,ckpt\oneclass_svm_predictions_p100_nu0.150_kernelrbf_gamma0.001_20251219_002329.csv
0.15,rbf,0.01,100,197.53371622384861,0.9778151863292953,0.5190839694656488,0.967408173823073,ckpt\oneclass_svm_predictions_p100_nu0.150_kernelrbf_gamma0.01_20251219_002329.csv
0.15,rbf,0.1,100,49.240931766742875,0.9763169159927343,0.6308724832214765,0.9715468184169684,ckpt\oneclass_svm_predictions_p100_nu0.150_kernelrbf_gamma0.1_20251219_002329.csv
0.15,rbf,1.0,100,0.8086907189028529,0.980253491143429,0.5607476635514018,0.9270563890325918,ckpt\oneclass_svm_predictions_p100_nu0.150_kernelrbf_gamma1.0_20251219_002329.csv
0.15,linear,N/A,100,0.0003209271873894088,0.7157451436372682,0.0,0.9513709260217279,ckpt\oneclass_svm_predictions_p100_nu0.150_kernellinear_gammascale_20251219_002329.csv
0.15,poly,N/A,100,0.0008044630949306618,0.028183679844503838,0.020618556701030927,0.9508535954474909,ckpt\oneclass_svm_predictions_p100_nu0.150_kernelpoly_gammascale_20251219_002330.csv
0.15,sigmoid,N/A,100,130.66442558012682,0.8414725857022203,0.448,0.9643041903776514,ckpt\oneclass_svm_predictions_p100_nu0.150_kernelsigmoid_gammascale_20251219_002330.csv
0.2,rbf,scale,100,45.59061615462925,0.9758888387537169,0.6625766871165644,0.9715468184169684,ckpt\oneclass_svm_predictions_p100_nu0.200_kernelrbf_gammascale_20251219_002330.csv
0.2,rbf,auto,100,45.59061635506628,0.9758888387537169,0.6625766871165644,0.9715468184169684,ckpt\oneclass_svm_predictions_p100_nu0.200_kernelrbf_gammaauto_20251219_002330.csv
0.2,rbf,0.001,100,101.05782973885141,0.9779887311559241,0.5151515151515151,0.966890843248836,ckpt\oneclass_svm_predictions_p100_nu0.200_kernelrbf_gamma0.001_20251219_002330.csv
0.2,rbf,0.01,100,278.0798839981653,0.9776300718475583,0.5190839694656488,0.967408173823073,ckpt\oneclass_svm_predictions_p100_nu0.200_kernelrbf_gamma0.01_20251219_002331.csv
0.2,rbf,0.1,100,82.23483740927513,0.9762822070274085,0.6308724832214765,0.9715468184169684,ckpt\oneclass_svm_predictions_p100_nu0.200_kernelrbf_gamma0.1_20251219_002331.csv
0.2,rbf,1.0,100,2.000248334939037,0.9803981118322862,0.6083916083916084,0.942058975685463,ckpt\oneclass_svm_predictions_p100_nu0.200_kernelrbf_gamma1.0_20251219_002331.csv
0.2,linear,N/A,100,0.00035031250230408735,0.9775028056413638,0.5151515151515151,0.966890843248836,ckpt\oneclass_svm_predictions_p100_nu0.200_kernellinear_gammascale_20251219_002331.csv
0.2,poly,N/A,100,0.0009264929029723002,0.028796871565258647,0.020202020202020204,0.9498189342990171,ckpt\oneclass_svm_predictions_p100_nu0.200_kernelpoly_gammascale_20251219_002332.csv
0.2,sigmoid,N/A,100,165.28134750777556,0.8326217995441556,0.43548387096774194,0.9637868598034144,ckpt\oneclass_svm_predictions_p100_nu0.200_kernelsigmoid_gammascale_20251219_002332.csv
0.25,rbf,scale,100,69.81866123404816,0.9759119780639339,0.6625766871165644,0.9715468184169684,ckpt\oneclass_svm_predictions_p100_nu0.250_kernelrbf_gammascale_20251219_002332.csv
