nu   ,kernel  ,gamma ,percentile ,threshold               ,auc                  ,f1_score             ,accuracy           ,predictions_csv
0.01 ,rbf     ,scale ,        96 ,-0.00018484120703643882 ,0.9748012911735101   ,0.6048109965635738   ,0.9405069839627522 ,ckpt\oneclass_svm_predictions_p96_nu0.010_kernelrbf_gammascale_20251219_002154.csv
0.01 ,rbf     ,auto  ,        96 ,-0.00018483923881086964 ,0.9748012911735101   ,0.6048109965635738   ,0.9405069839627522 ,ckpt\oneclass_svm_predictions_p96_nu0.010_kernelrbf_gammaauto_20251219_002154.csv
0.01 ,rbf     ,0.001 ,        96 ,-0.2100306439587452     ,0.9765078153020258   ,0.6323529411764706   ,0.9482669425763063 ,ckpt\oneclass_svm_predictions_p96_nu0.010_kernelrbf_gamma0.001_20251219_002154.csv
0.01 ,rbf     ,0.01  ,        96 ,-0.4857062421576496     ,0.964209271921604    ,0.6307692307692307   ,0.950336264873254  ,ckpt\oneclass_svm_predictions_p96_nu0.010_kernelrbf_gamma0.01_20251219_002154.csv
0.01 ,rbf     ,0.1   ,        96 ,-0.020537758631804792   ,0.9696470098226372   ,0.6484375            ,0.9534402483186757 ,ckpt\oneclass_svm_predictions_p96_nu0.010_kernelrbf_gamma0.1_20251219_002154.csv
0.01 ,rbf     ,1.0   ,        96 ,0.00023885236240962283  ,0.9800596994203604   ,0.26382978723404255  ,0.7315054319710295 ,ckpt\oneclass_svm_predictions_p96_nu0.010_kernelrbf_gamma1.0_20251219_002154.csv
0.01 ,linear  ,N/A   ,        96 ,-4.057630383615022e-07  ,0.6873127162079298   ,0.27860696517412936  ,0.9249870667356441 ,ckpt\oneclass_svm_predictions_p96_nu0.010_kernellinear_gammascale_20251219_002154.csv
0.01 ,poly    ,N/A   ,        96 ,0.00012570738930821522  ,0.029068758460310304 ,0.01                 ,0.8975685463010864 ,ckpt\oneclass_svm_predictions_p96_nu0.010_kernelpoly_gammascale_20251219_002154.csv
0.01 ,sigmoid ,N/A   ,        96 ,-0.40104357153593334    ,0.7910983073594575   ,0.5217391304347826   ,0.9544749094671495 ,ckpt\oneclass_svm_predictions_p96_nu0.010_kernelsigmoid_gammascale_20251219_002154.csv
0.05 ,rbf     ,scale ,        96 ,0.00029428410335260253  ,0.9752582925502992   ,0.5659163987138264   ,0.9301603724780134 ,ckpt\oneclass_svm_predictions_p96_nu0.050_kernelrbf_gammascale_20251219_002154.csv
