nu  , kernel , gamma, percentile, threshold              , auc                 , f1_score            , accuracy          , predictions_csv
0.01, rbf    , scale,         99, 0.00018200160060012193 , 0.9748012911735101  , 0.6068965517241379  , 0.9410243145369891, ckpt\oneclass_svm_predictions_p99_nu0.010_kernelrbf_gammascale_20251219_002011.csv
0.01, rbf    , auto ,         99, 0.00018199933016450464 , 0.9748012911735101  , 0.6068965517241379  , 0.9410243145369891, ckpt\oneclass_svm_predictions_p99_nu0.010_kernelrbf_gammaauto_20251219_002011.csv
0.01, rbf    , 0.001,         99, -0.006765418798198855  , 0.9765078153020258  , 0.7604166666666666  , 0.9762027935851009, ckpt\oneclass_svm_predictions_p99_nu0.010_kernelrbf_gamma0.001_20251219_002011.csv
0.01, rbf    , 0.01 ,         99, -1.3914715743560316e-05, 0.964209271921604   , 0.7373737373737373  , 0.9730988101396792, ckpt\oneclass_svm_predictions_p99_nu0.010_kernelrbf_gamma0.01_20251219_002011.csv
0.01, rbf    , 0.1  ,         99, 0.0001651064413962521  , 0.9696470098226372  , 0.6720647773279352  , 0.9580962234868081, ckpt\oneclass_svm_predictions_p99_nu0.010_kernelrbf_gamma0.1_20251219_002011.csv
0.01, rbf    , 1.0  ,         99, 0.00039044621588065474 , 0.9800596994203604  , 0.26495726495726496 , 0.7330574236937403, ckpt\oneclass_svm_predictions_p99_nu0.010_kernelrbf_gamma1.0_20251219_002012.csv
0.01, linear , N/A  ,         99, 0.00015638844546489152 , 0.6873127162079298  , 0.20869565217391303 , 0.9529229177444387, ckpt\oneclass_svm_predictions_p99_nu0.010_kernellinear_gammascale_20251219_002012.csv
0.01, poly   , N/A  ,         99, 0.00015051531221802074 , 0.029068758460310304, 0.012738853503184714, 0.9198137609932747, ckpt\oneclass_svm_predictions_p99_nu0.010_kernelpoly_gammascale_20251219_002012.csv
0.01, sigmoid, N/A  ,         99, -0.0002467747871098141 , 0.7910983073594575  , 0.55                , 0.9627521986549405, ckpt\oneclass_svm_predictions_p99_nu0.010_kernelsigmoid_gammascale_20251219_002012.csv
0.05, rbf    , scale,         99, 1.279592419663691      , 0.9752582925502992  , 0.7649769585253456  , 0.9736161407139162, ckpt\oneclass_svm_predictions_p99_nu0.050_kernelrbf_gammascale_20251219_002012.csv
0.05, rbf    , auto ,         99, 1.2795924312318594     , 0.9752582925502992  , 0.7649769585253456  , 0.9736161407139162, ckpt\oneclass_svm_predictions_p99_nu0.050_kernelrbf_gammaauto_20251219_002012.csv
0.05, rbf    , 0.001,         99, 2.0782644712897707     , 0.9790994180463479  , 0.7772020725388601  , 0.9777547853078117, ckpt\oneclass_svm_predictions_p99_nu0.050_kernelrbf_gamma0.001_20251219_002012.csv
0.05, rbf    , 0.01 ,         99, 10.024658226106872     , 0.9773928939178324  , 0.7692307692307693  , 0.9767201241593378, ckpt\oneclass_svm_predictions_p99_nu0.050_kernelrbf_gamma0.01_20251219_002012.csv
0.05, rbf    , 0.1  ,         99, 3.0230627001597967     , 0.9739451366954751  , 0.736318407960199   , 0.9725814795654423, ckpt\oneclass_svm_predictions_p99_nu0.050_kernelrbf_gamma0.1_20251219_002012.csv
0.05, rbf    , 1.0  ,         99, 0.000404234476277556   , 0.9801262249372346  , 0.2612359550561798  , 0.727884117951371 , ckpt\oneclass_svm_predictions_p99_nu0.050_kernelrbf_gamma1.0_20251219_002012.csv
0.05, linear , N/A  ,         99, 0.0002729967697658664  , 0.2617750164867585  , 0.015748031496062992, 0.9353336782203828, ckpt\oneclass_svm_predictions_p99_nu0.050_kernellinear_gammascale_20251219_002012.csv
0.05, poly   , N/A  ,         99, 0.0001308640427625157  , 0.02861754191107564 , 0.014814814814814815, 0.9311950336264874, ckpt\oneclass_svm_predictions_p99_nu0.050_kernelpoly_gammascale_20251219_002013.csv
0.05, sigmoid, N/A  ,         99, 7.198816011993328      , 0.8123286244837041  , 0.6589595375722543  , 0.9694774961200207, ckpt\oneclass_svm_predictions_p99_nu0.050_kernelsigmoid_gammascale_20251219_002013.csv
0.1 , rbf    , scale,         99, 8.64168503278616       , 0.9752409380676362  , 0.74                , 0.9730988101396792, ckpt\oneclass_svm_predictions_p99_nu0.100_kernelrbf_gammascale_20251219_002013.csv
0.1 , rbf    , auto ,         99, 8.641685073901979      , 0.9752409380676362  , 0.74                , 0.9730988101396792, ckpt\oneclass_svm_predictions_p99_nu0.100_kernelrbf_gammaauto_20251219_002013.csv
0.1 , rbf    , 0.001,         99, 5.783016966874886      , 0.9792498235627595  , 0.7708333333333334  , 0.9772374547335747, ckpt\oneclass_svm_predictions_p99_nu0.100_kernelrbf_gamma0.001_20251219_002013.csv
0.1 , rbf    , 0.01 ,         99, 32.82483347179939      , 0.9785672139113533  , 0.7668393782383419  , 0.9767201241593378, ckpt\oneclass_svm_predictions_p99_nu0.100_kernelrbf_gamma0.01_20251219_002013.csv
0.1 , rbf    , 0.1  ,         99, 15.704770421995846     , 0.9750268994481275  , 0.7474747474747475  , 0.9741334712881531, ckpt\oneclass_svm_predictions_p99_nu0.100_kernelrbf_gamma0.1_20251219_002013.csv
0.1 , rbf    , 1.0  ,         99, 0.007283920506556865   , 0.9801030856270174  , 0.27074235807860264 , 0.7408173823072943, ckpt\oneclass_svm_predictions_p99_nu0.100_kernelrbf_gamma1.0_20251219_002014.csv
0.1 , linear , N/A  ,         99, 0.00021530030642239207 , 0.6129776821352956  , 0.015384615384615385, 0.933781686497672 , ckpt\oneclass_svm_predictions_p99_nu0.100_kernellinear_gammascale_20251219_002014.csv
0.1 , poly   , N/A  ,         99, 0.00013066064137510984 , 0.027182904677611554, 0.014492753623188406, 0.9296430419037766, ckpt\oneclass_svm_predictions_p99_nu0.100_kernelpoly_gammascale_20251219_002014.csv
0.1 , sigmoid, N/A  ,         99, 24.355730855060802     , 0.8295558409403816  , 0.6589595375722543  , 0.9694774961200207, ckpt\oneclass_svm_predictions_p99_nu0.100_kernelsigmoid_gammascale_20251219_002014.csv
0.15, rbf    , scale,         99, 21.430705530445397     , 0.9754318373769278  , 0.746268656716418   , 0.9736161407139162, ckpt\oneclass_svm_predictions_p99_nu0.150_kernelrbf_gammascale_20251219_002014.csv
0.15, rbf    , auto ,         99, 21.430705628995014     , 0.9754318373769278  , 0.746268656716418   , 0.9736161407139162, ckpt\oneclass_svm_predictions_p99_nu0.150_kernelrbf_gammaauto_20251219_002015.csv
0.15, rbf    , 0.001,         99, 10.439615848430828     , 0.9782895421887473  , 0.7643979057591623  , 0.9767201241593378, ckpt\oneclass_svm_predictions_p99_nu0.150_kernelrbf_gamma0.001_20251219_002015.csv
0.15, rbf    , 0.01 ,         99, 63.94516094118925      , 0.9778151863292953  , 0.7643979057591623  , 0.9767201241593378, ckpt\oneclass_svm_predictions_p99_nu0.150_kernelrbf_gamma0.01_20251219_002015.csv
0.15, rbf    , 0.1  ,         99, 39.61115403533573      , 0.9763169159927343  , 0.7525773195876289  , 0.975168132436627 , ckpt\oneclass_svm_predictions_p99_nu0.150_kernelrbf_gamma0.1_20251219_002015.csv
0.15, rbf    , 1.0  ,         99, 0.772914406437806      , 0.980253491143429   , 0.547112462006079   , 0.9229177444386963, ckpt\oneclass_svm_predictions_p99_nu0.150_kernelrbf_gamma1.0_20251219_002015.csv
0.15, linear , N/A  ,         99, 4.528177824934717e-05  , 0.7157451436372682  , 0.20634920634920634 , 0.9482669425763063, ckpt\oneclass_svm_predictions_p99_nu0.150_kernellinear_gammascale_20251219_002015.csv
0.15, poly   , N/A  ,         99, 0.00015182757089658003 , 0.028183679844503838, 0.013245033112582781, 0.9229177444386963, ckpt\oneclass_svm_predictions_p99_nu0.150_kernelpoly_gammascale_20251219_002016.csv
0.15, sigmoid, N/A  ,         99, 44.11058421766985      , 0.8414725857022203  , 0.6473988439306358  , 0.9684428349715468, ckpt\oneclass_svm_predictions_p99_nu0.150_kernelsigmoid_gammascale_20251219_002016.csv
0.2 , rbf    , scale,         99, 40.731994251702325     , 0.9758888387537169  , 0.75                , 0.9741334712881531, ckpt\oneclass_svm_predictions_p99_nu0.200_kernelrbf_gammascale_20251219_002016.csv
