nu,kernel,gamma,percentile,threshold,auc,f1_score,accuracy,predictions_csv
0.01,rbf,scale,95,0.00019666540168508914,0.6675,0.5142857142857142,0.6909090909090909,/home/task5_unified_frame/ckpt/predictions_nuts_resnet50_p95_nu0.010_kernelrbf_gammascale_20251219_115615.csv
0.01,rbf,auto,95,0.00017284186118608205,0.6558333333333334,0.5142857142857142,0.6909090909090909,/home/task5_unified_frame/ckpt/predictions_nuts_resnet50_p95_nu0.010_kernelrbf_gammaauto_20251219_115615.csv
0.01,rbf,0.001,95,0.00029288489211549333,0.6758333333333333,0.45,0.6,/home/task5_unified_frame/ckpt/predictions_nuts_resnet50_p95_nu0.010_kernelrbf_gamma0.001_20251219_115615.csv
0.01,rbf,0.01,95,0.00044846111467575656,0.71,0.42857142857142855,0.2727272727272727,/home/task5_unified_frame/ckpt/predictions_nuts_resnet50_p95_nu0.010_kernelrbf_gamma0.01_20251219_115615.csv
0.01,rbf,0.05,95,0.0002391910342192348,0.5933333333333333,0.42857142857142855,0.2727272727272727,/home/task5_unified_frame/ckpt/predictions_nuts_resnet50_p95_nu0.010_kernelrbf_gamma0.05_20251219_115615.csv
0.01,rbf,0.1,95,0.00023460815953604404,0.5633333333333332,0.42857142857142855,0.2727272727272727,/home/task5_unified_frame/ckpt/predictions_nuts_resnet50_p95_nu0.010_kernelrbf_gamma0.1_20251219_115615.csv
0.01,rbf,0.3,95,0.00023437500133421246,0.5,0.42857142857142855,0.2727272727272727,/home/task5_unified_frame/ckpt/predictions_nuts_resnet50_p95_nu0.010_kernelrbf_gamma0.3_20251219_115616.csv
0.01,rbf,0.5,95,0.00023437500000001409,0.5,0.42857142857142855,0.2727272727272727,/home/task5_unified_frame/ckpt/predictions_nuts_resnet50_p95_nu0.010_kernelrbf_gamma0.5_20251219_115616.csv
0.01,rbf,0.8,95,0.00023437500000000715,0.5,0.42857142857142855,0.2727272727272727,/home/task5_unified_frame/ckpt/predictions_nuts_resnet50_p95_nu0.010_kernelrbf_gamma0.8_20251219_115616.csv
0.01,rbf,1.0,95,0.00023437500000000715,0.5,0.42857142857142855,0.2727272727272727,/home/task5_unified_frame/ckpt/predictions_nuts_resnet50_p95_nu0.010_kernelrbf_gamma1.0_20251219_115616.csv
0.01,linear,N/A,95,0.00029895973472785463,0.46166666666666667,0.21052631578947367,0.7272727272727273,/home/task5_unified_frame/ckpt/predictions_nuts_resnet50_p95_nu0.010_kernellinear_gammascale_20251219_115616.csv
0.01,poly,N/A,95,4.316888178194913e-05,0.6983333333333333,0.4489795918367347,0.509090909090909,/home/task5_unified_frame/ckpt/predictions_nuts_resnet50_p95_nu0.010_kernelpoly_gammascale_20251219_115616.csv
0.01,sigmoid,N/A,95,8.448480578853944e-05,0.36333333333333334,0.23255813953488372,0.4,/home/task5_unified_frame/ckpt/predictions_nuts_resnet50_p95_nu0.010_kernelsigmoid_gammascale_20251219_115616.csv
0.05,rbf,scale,95,0.0002634992203672719,0.6675,0.5142857142857142,0.6909090909090909,/home/task5_unified_frame/ckpt/predictions_nuts_resnet50_p95_nu0.050_kernelrbf_gammascale_20251219_115616.csv
0.05,rbf,auto,95,9.619624156615977e-05,0.6558333333333334,0.5142857142857142,0.6909090909090909,/home/task5_unified_frame/ckpt/predictions_nuts_resnet50_p95_nu0.050_kernelrbf_gammaauto_20251219_115616.csv
0.05,rbf,0.001,95,0.0002602433865494881,0.6758333333333333,0.45,0.6,/home/task5_unified_frame/ckpt/predictions_nuts_resnet50_p95_nu0.050_kernelrbf_gamma0.001_20251219_115616.csv
0.05,rbf,0.01,95,0.000404133289680027,0.71,0.42857142857142855,0.2727272727272727,/home/task5_unified_frame/ckpt/predictions_nuts_resnet50_p95_nu0.050_kernelrbf_gamma0.01_20251219_115616.csv
