nu,kernel,gamma,percentile,threshold,auc,f1_score,accuracy,predictions_csv
0.01,rbf,scale,95,0.00019029345657608032,0.7791666666666667,0.5882352941176471,0.7021276595744681,/home/task5_unified_frame/ckpt/predictions_zipper_resnet50_p95_nu0.010_kernelrbf_gammascale_20251219_115747.csv
0.01,rbf,auto,95,4.074040796363807e-05,0.7770833333333333,0.6,0.7446808510638298,/home/task5_unified_frame/ckpt/predictions_zipper_resnet50_p95_nu0.010_kernelrbf_gammaauto_20251219_115747.csv
0.01,rbf,0.001,95,0.00023930551393454473,0.7895833333333333,0.6285714285714286,0.723404255319149,/home/task5_unified_frame/ckpt/predictions_zipper_resnet50_p95_nu0.010_kernelrbf_gamma0.001_20251219_115748.csv
0.01,rbf,0.01,95,0.00032321509547305564,0.7854166666666667,0.4838709677419355,0.3191489361702128,/home/task5_unified_frame/ckpt/predictions_zipper_resnet50_p95_nu0.010_kernelrbf_gamma0.01_20251219_115748.csv
0.01,rbf,0.05,95,0.0002343796347531641,0.7229166666666667,0.4838709677419355,0.3191489361702128,/home/task5_unified_frame/ckpt/predictions_zipper_resnet50_p95_nu0.010_kernelrbf_gamma0.05_20251219_115748.csv
0.01,rbf,0.1,95,0.00023437500009525214,0.5625,0.4838709677419355,0.3191489361702128,/home/task5_unified_frame/ckpt/predictions_zipper_resnet50_p95_nu0.010_kernelrbf_gamma0.1_20251219_115748.csv
0.01,rbf,0.3,95,0.00023437500000000715,0.5,0.4838709677419355,0.3191489361702128,/home/task5_unified_frame/ckpt/predictions_zipper_resnet50_p95_nu0.010_kernelrbf_gamma0.3_20251219_115748.csv
0.01,rbf,0.5,95,0.00023437500000000715,0.5,0.4838709677419355,0.3191489361702128,/home/task5_unified_frame/ckpt/predictions_zipper_resnet50_p95_nu0.010_kernelrbf_gamma0.5_20251219_115748.csv
0.01,rbf,0.8,95,0.00023437500000000715,0.5,0.4838709677419355,0.3191489361702128,/home/task5_unified_frame/ckpt/predictions_zipper_resnet50_p95_nu0.010_kernelrbf_gamma0.8_20251219_115748.csv
0.01,rbf,1.0,95,0.00023437500000000715,0.5,0.4838709677419355,0.3191489361702128,/home/task5_unified_frame/ckpt/predictions_zipper_resnet50_p95_nu0.010_kernelrbf_gamma1.0_20251219_115748.csv
